Kod,Nazwa,ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku przedprodukcyjnym,ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym,współczynnik obciążenia demograficznego osobami starszymi,odsetek osób w wieku 65 lat i więcej w populacji ogółem,odsetek osób w wieku 65 lat i więcej w populacji ogółem - mężczyźni,odsetek osób w wieku 65 lat i więcej w populacji ogółem - kobiety
,,2024,2024,2024,2024,2024,2024,2024
,,[osoba],[osoba],[osoba],[osoba],[osoba],[osoba],[osoba]
0803000,Powiat międzyrzecki,"73,7","140,9","43,1","33,3","21,4","18,5","24,3"
0804000,Powiat nowosolski,"74,2","143,4","43,7","34,2","21,9","18,3","25,3"
0805000,Powiat słubicki,"66,0","120,8","36,1","27,4","18,4","15,5","21,1"
0806000,Powiat strzelecko-drezdenecki,"73,1","137,8","42,4","33,0","21,3","18,4","24,1"
0807000,Powiat sulęciński,"69,8","124,9","38,8","29,9","19,6","16,5","22,6"
0808000,Powiat świebodziński,"73,5","128,5","41,3","31,6","20,4","17,2","23,5"
0809000,Powiat zielonogórski,"70,6","121,6","38,7","30,0","19,6","17,0","22,1"
0810000,Powiat żagański,"73,1","153,2","44,2","34,0","22,0","18,5","25,4"
0811000,Powiat żarski,"71,1","143,8","41,9","32,4","21,1","17,6","24,4"
0812000,Powiat wschowski,"72,6","126,1","40,5","31,3","20,3","17,4","23,1"
0861000,Powiat m. Gorzów Wielkopolski,"76,7","163,1","47,5","37,7","23,8","19,6","27,6"
0862000,Powiat m. Zielona Góra,"74,9","142,7","44,1","34,9","22,2","18,5","25,4"
1000000,ŁÓDZKIE,"76,0","155,2","46,2","36,2","22,9","18,7","26,8"
1001000,Powiat bełchatowski,"75,8","129,4","42,8","31,9","20,5","18,1","22,8"
1002000,Powiat kutnowski,"77,9","172,3","49,3","37,9","23,9","19,5","28,0"
1003000,Powiat łaski,"74,5","146,8","44,3","34,3","22,0","18,1","25,6"
1004000,Powiat łęczycki,"76,7","158,5","47,1","36,4","23,0","19,0","26,8"
1005000,Powiat łowicki,"76,5","143,0","45,0","34,8","22,1","18,4","25,5"
1006000,Powiat łódzki wschodni,"72,7","120,2","39,7","30,3","19,7","16,7","22,4"
1007000,Powiat opoczyński,"75,4","129,3","42,5","32,7","21,0","17,5","24,3"
1008000,Powiat pabianicki,"75,3","151,8","45,4","35,7","22,6","18,2","26,6"
1009000,Powiat pajęczański,"72,2","145,4","42,8","33,9","21,7","18,4","25,1"
