TABL. III. LUDNOŒÆ, RUCH NATURALNY ORAZ MIGRACJE LUDNOŒCI WED£UG POWIATÓW W 2024 R.;;;;;;;;;;;;;;;;;;;;;;;
                  POPULATION, VITAL STATISTICS AND MIGRATION OF POPULATION BY POWIATS IN 2024.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"Województwa 
Voivodships
Powiaty
Powiats";"Identyfikator terytorialny
Code";"Ludnoœæ
(stan w dniu 31.12)
Population
(as of 
December 31)";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony   
Deaths";;"Przyrost naturalny 
Natural increase";"Migracje wewnêtrzne 
Internal migration";;;"Migracje zagraniczne
International migration";;;"Ogólne saldo migracji
Total net migration";"Ma³¿eñ-stwa 
Marriages";"Urodzenia ¿ywe 
Live births";"Zgony 
Deaths";"Przyrost naturalny
Natural increase";"Ogólne saldo migracji 
Total net migration";"Zgony niemowl¹t na 1000 urodzeñ ¿ywych
Infant deaths per 1000 of live births";;;
;;;;;"ogó³em 
total";"w tym niemowl¹t 
of which infant";;"nap³yw 
inflow";"odp³yw 
outflow";"saldo 
net";"imigracja 
immigra-tion";"emigracja 
emigra-tion";"saldo 
net";;;;;;;;;;
;;;;;;;;;;;;;;;"na 1000 ludnoœci    
per 1000 of population";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
 drawski;3203;53003;187;287;624;-;-337;594;755;-161;9;9;-;-161;3,5;5,4;11,7;-6,3;-3,0;-;;;
 goleniowski;3204;81118;313;538;968;4;-430;1238;1065;173;69;63;6;179;3,9;6,6;11,9;-5,3;2,2;7,4;;;
 gryficki;3205;56095;187;310;688;2;-378;719;790;-71;22;4;18;-53;3,3;5,5;12,2;-6,7;-0,9;6,5;;;
 gryfiñski;3206;76489;283;412;896;-;-484;1036;1110;-74;43;24;19;-55;3,7;5,4;11,7;-6,3;-0,7;-;;;
 kamieñski;3207;43773;127;235;563;-;-328;561;579;-18;32;28;4;-14;2,9;5,3;12,8;-7,5;-0,3;-;;;
 ko³obrzeski;3208;76390;286;435;901;3;-466;1377;1155;222;45;24;21;243;3,7;5,7;11,8;-6,1;3,2;6,9;;;
 koszaliñski;3209;64359;243;352;726;-;-374;1360;1086;274;37;33;4;278;3,8;5,5;11,3;-5,8;4,3;-;;;
 myœliborski;3210;61756;188;334;680;2;-346;607;765;-158;27;19;8;-150;3,0;5,4;11,0;-5,6;-2,4;6,0;;;
 policki;3211;86834;282;508;689;1;-181;2282;1175;1107;62;12;50;1157;3,3;5,9;8,0;-2,1;13,4;2,0;;;
 pyrzycki;3212;35991;124;239;471;-;-232;365;507;-142;6;4;2;-140;3,4;6,6;13,0;-6,4;-3,9;-;;;
